65.82	-28.34	9.32	0.06
-80.05	2.93	-31.92	0.13
-2.84	-8.64	48.19	0.51
-85.81	-70.62	27.22	0.45
-41.80	-25.13	81.55	0.08
-19.81	83.39	-98.18	0.73
-32.95	-95.40	4.10	0.94
91.65	-74.86	76.42	0.85
-30.77	15.81	29.76	0.70
-1.85	91.25	73.54	0.94
74.66	-96.17	-76.20	0.75
-90.42	-58.84	2.43	0.89
73.59	91.91	28.24	0.15
52.84	-25.20	79.46	0.88
-87.19	28.43	20.64	0.05
9.12	6.89	39.34	0.55
38.16	91.56	53.61	0.12
-95.85	87.73	27.37	0.85
-31.34	-26.43	99.29	0.66
59.83	9.79	34.50	0.02
36.70	-1.06	-35.35	0.53
-57.16	95.06	10.21	0.53
-88.83	-31.37	-52.93	0.53
-93.34	-40.76	-17.55	0.30
29.99	7.29	90.98	0.79
-21.70	71.02	36.84	0.71
-76.44	-0.60	64.13	0.48
-80.86	-66.34	86.95	0.50
6.77	96.97	20.01	0.15
-57.84	-84.47	-81.08	0.24
60.99	9.09	18.04	0.87
-91.23	78.98	92.41	0.22
92.11	40.48	1.48	0.67
-98.76	-29.39	32.79	0.53
65.11	-58.53	36.66	0.68
36.41	-83.69	-14.32	0.72
-19.52	-87.80	-88.69	0.31
-82.68	-40.49	84.50	0.56
40.95	-0.95	-83.93	0.55
-79.29	34.20	-98.78	0.13
-33.78	-34.90	-13.37	0.49
-20.99	-72.62	84.58	0.55
-46.06	-51.72	-18.46	-0.86
			
			
57.63	6.11	-50.06	0.66
-32.37	-0.37	-32.71	0.40
190.02	-2.83	18.43	0.05
-340.33	-29.65	10.43	0.85
8.12	716.97	-61.87	0.26
-43.05	-404.48	-98.59	0.69
-13.95	9.93	-800.80	0.64
16.88	28.15	-98.20	0.91
-92.83	94.88	836.55	0.76
-95.62	36.84	-40.20	0.21
41.35	70.02	-34.28	0.56
-48.98	94.91	99.29	0.78
-98.76	96.97	-98.78	-0.47
