-54.97	-16.49	-56.92	0
-18.74	-46.13	-31.53	0.74
-36.13	-59.26	-52.13	0.65
-10.1	-78.61	-12.4	0.46
-51.19	-21.92	-38.62	0.55
-55.73	-53.79	-46.9	0.9
-18.69	-50.8	-86.79	0.39
-37.46	-16.67	-98.97	0.32
-34.24	-2.01	-58.97	0.4
-20.66	-83.11	-20.07	0.59
-69.18	-14.25	-60.63	0.29
-67.97	-27.44	-98.94	0.08
-35.05	-44.19	-58.25	0.5
-51.82	-75.01	-18.96	0.3
-83.14	-28.86	-24.38	0.8
-86.15	-32.33	-56.01	0.16
-27.14	-79.3	-28.3	0.12
-3.85	-59.43	-12.07	0.35
-2.35	-54.04	-91.41	0.76
-63.84	-66.93	-77.62	0.92
-78.91	-28.39	-11.64	0.35
-45.44	-40.25	-52.29	0.53
-51.53	-45.42	-20.33	0.79
-6.77	-57.38	-7.22	0.42
-57.02	-49.16	-42.47	0.32
-88.95	-28	-22.9	0.33
-27.1	-86.06	-27.32	0.07
-14.81	-53.54	-65.84	0.37
-12.67	-19.49	-64.15	0.3
-2.9	-0.5	-85.03	0.83
-11.9	-90.33	-67.05	0.64
-22.97	-82.73	-31.2	0.26
-19.35	-55.29	-68.55	0.7
-76.23	-45.63	-44.68	0.63
-28.19	-79.17	-4.38	0.12
-37.2	-60.91	-5.3	0.43
-37.82	-50.06	-60.65	0.12
-27.59	-86.09	-76.74	0.19
-74.86	-38.3	-66.04	0.65
-72.75	-45.54	-58	0.48
-46.23	-76.97	-4.76	0.42
-29.83	-80.43	-1.17	0.98
-35.37	-4.92	-82.07	-0.16
			
			
-10.08	-21.83	-59.77	0.54
-88.95	-90.33	-88.13	1
-59.07	-88.71	-67.11	0.05
-83.81	-0.5	-1.17	0.33
-14.92	-25.07	-41.36	1
-74.98	-90.36	-67.02	0.6
0	0	0	0
-0.206	-0.409	-50.14	0.5
-15.73	-79.44	-98.97	0.55
-27.05	-24.86	-1.17	0.22
-35.93	-73.65	-12.92	0.7
-88.96	-77.26	-3.29	0.25
-94.08	-46.68	-72.9	-0.53
